Date,Open,High,Low,Close,Adj Close,Volume
2016-10-06,57.740002,58.389999,56.400002,57.110001,52.123138,103173000
2016-10-13,56.700001,57.950001,56.320000,57.529999,52.506462,118574100
2016-10-20,57.500000,61.369999,56.660000,60.630001,55.335777,248603600
2016-10-27,60.610001,60.830002,59.250000,59.430000,54.240559,135169300
2016-11-03,59.529999,60.779999,58.520000,60.169998,54.915943,154530100
2016-11-10,60.480000,60.490002,57.279999,59.650002,54.441341,201155200
2016-11-17,60.410000,61.259998,59.970001,60.400002,55.498268,124527200
2016-11-24,60.299999,61.410000,60.130001,60.259998,55.369629,86164300
2016-12-01,60.110001,61.380001,58.799999,61.369999,56.389538,134326500
2016-12-08,61.299999,63.450001,60.840000,62.680000,57.593227,134839900
2016-12-15,62.700001,63.799999,62.119999,63.540001,58.383442,147585900
2016-12-22,63.840000,64.099998,62.799999,62.990002,57.878078,60996900
2016-12-29,62.860001,63.200001,62.029999,62.299999,57.244061,77864600
2017-01-05,62.189999,63.230000,62.029999,63.189999,58.061844,105291900
2017-01-12,63.060001,63.400002,61.950001,62.500000,57.427826,80724600
2017-01-19,62.240002,64.099998,62.200001,63.680000,58.512085,120108400
2017-01-26,64.120003,65.910004,63.470001,63.580002,58.420193,184966000
2017-02-02,63.250000,63.810001,62.750000,63.340000,58.199665,134298800
2017-02-09,63.520000,64.860001,63.320000,64.529999,59.293098,103848800
2017-02-16,64.739998,65.239998,64.050003,64.360001,59.495399,81743700
2017-02-23,64.419998,64.989998,63.759998,64.940002,60.031570,108118700
2017-03-02,64.690002,65.080002,63.619999,64.989998,60.077782,101457700
2017-03-09,65.190002,65.260002,64.150002,64.750000,59.855927,98599000
2017-03-16,64.750000,65.500000,64.120003,65.029999,60.114773,131812600
2017-03-23,64.940002,65.500000,64.349998,65.470001,60.521511,94199800
2017-03-30,65.419998,66.349998,65.190002,65.559998,60.604710,91010000
2017-04-06,65.599998,66.059998,64.849998,65.230003,60.299652,86064700
2017-04-13,65.290001,65.860001,64.889999,65.040001,60.124004,76734200
